Year,ICPSR State Code,Alphanumeric State Code,State,VEP Total Ballots Counted,VEP Highest Office,VAP Highest Office,Total Ballots Counted,Highest Office,Voting-Eligible Population (VEP),Voting-Age Population (VAP),% Non-citizen,Prison,Probation,Parole,Total Ineligible Felon,Overseas Eligible
2008,13,33,New York,59.60%,59.00%,51.40%,"7,721,718","7,640,640",12948969.00,14876971.00,12.40%,"60,347",0,"52,225","86,460","263,787"
2010,13,33,New York,36.30%,35.50%,30.80%,"4,763,899","4,658,586",13135048.00,15111583.00,12.50%,"50,668",0,"48,542","80,927",
2012,13,33,New York,53.50%,53.10%,46.10%,"7,128,852","7,074,723",13324107.00,15344671.00,12.50%,"49,889",0,"46,222","96,111",
2014,13,33,New York,29.00%,28.20%,24.60%,"3,930,310","3,819,010",13553426.00,15544111.00,12.20%,"48,376",0,"44,889","93,265",
1980,47,34,North Carolina,,44.10%,43.40%,,"1,855,833",4203817.00,4272156.00,0.70%,"15,513","36,467","6,496","40,243",
1982,47,34,North Carolina,,30.40%,29.80%,,"1,321,080",4347870.00,4427095.00,0.80%,"16,569","44,274","6,910","45,616",
1984,47,34,North Carolina,,48.20%,47.30%,,"2,175,361",4512013.00,4598151.00,0.90%,"16,371","52,600","3,892","46,563",
1986,47,34,North Carolina,,34.20%,33.50%,,"1,591,330",4653016.00,4749053.00,1.00%,"17,698","58,644","3,322","50,342",
1988,47,34,North Carolina,,44.50%,43.50%,,"2,134,370",4794041.00,4903045.00,1.10%,"17,078","67,164","6,191","56,851",
1990,47,34,North Carolina,,41.90%,40.80%,,"2,069,585",4938968.00,5073437.00,1.30%,"18,411","77,829","9,883","67,209",
1992,47,34,North Carolina,,51.40%,49.70%,,"2,611,850",5077494.00,5259564.00,2.00%,"20,454","86,371","14,415","78,055",
1994,47,34,North Carolina,,30.30%,29.00%,,"1,588,190",5244552.00,5477604.00,2.60%,"23,648","90,418","20,159","89,016",
1996,47,34,North Carolina,,46.30%,44.00%,,"2,515,807",5435970.00,5717844.00,3.30%,"30,647","102,483","12,358","94,247",
1998,47,34,North Carolina,,35.80%,33.80%,,"2,012,143",5624292.00,5948653.00,3.90%,"31,961","105,227","5,806","90,381",
2000,47,34,North Carolina,52.50%,50.70%,47.50%,"3,015,964","2,911,262",5744241.00,6143214.00,4.60%,"31,532","105,949","3,352","87,859",
2002,47,34,North Carolina,,39.70%,37.20%,,"2,331,181",5876705.00,6314679.00,5.00%,"33,334","112,900","2,805","92,589",
2004,47,34,North Carolina,58.70%,57.80%,53.90%,"3,552,449","3,501,007",6055771.00,6505150.00,5.30%,"34,917","111,537","2,882","93,568",
2006,47,34,North Carolina,32.50%,31.00%,28.70%,"2,036,451","1,940,808",6264630.00,6799585.00,5.80%,"37,460","110,419","3,101","95,771",
2008,47,34,North Carolina,66.10%,65.50%,60.70%,"4,354,571","4,310,789",6584302.00,7096503.00,5.90%,"39,482","109,678","3,409","96,026","133,483"
2010,47,34,North Carolina,39.80%,39.20%,36.40%,"2,700,706","2,660,079",6785463.00,7310093.00,6.10%,"38,341","36,740","3,621","78,667",
2012,47,34,North Carolina,65.40%,64.80%,60.10%,"4,542,488","4,505,372",6947954.00,7496980.00,6.10%,"35,567","96,070","4,359","90,843",
2014,47,34,North Carolina,41.20%,40.80%,37.90%,"2,939,767","2,915,281",7143737.00,7693406.00,5.90%,"35,726","90,918","10,025","96,665",
1980,36,35,North Dakota,68.00%,65.20%,64.80%,"314,525","301,545",462223.00,465447.00,0.60%,253,0,0,253,
1982,36,35,North Dakota,57.20%,55.00%,54.60%,"272,876","262,465",476851.00,480367.00,0.70%,322,0,0,322,
1984,36,35,North Dakota,67.20%,64.00%,63.50%,"324,179","308,971",482655.00,486449.00,0.70%,432,0,0,432,
1986,36,35,North Dakota,62.30%,61.00%,60.50%,"295,177","289,013",473962.00,477812.00,0.70%,421,0,0,421,
1988,36,35,North Dakota,66.20%,63.70%,63.20%,"309,100","297,261",466684.00,470652.00,0.70%,466,0,0,466,
1990,36,35,North Dakota,52.00%,50.70%,50.20%,"240,301","233,973",461711.00,465851.00,0.80%,483,0,0,483,
1992,36,35,North Dakota,68.10%,66.60%,66.00%,"315,199","308,133",462631.00,467130.00,0.90%,477,0,0,477,
1994,36,35,North Dakota,51.30%,50.40%,49.90%,"240,430","236,547",468989.00,473993.00,0.90%,563,0,0,563,
1996,36,35,North Dakota,57.10%,56.00%,55.30%,"271,850","266,411",475898.00,481497.00,1.00%,722,0,0,722,
1998,36,35,North Dakota,45.70%,44.90%,44.30%,"217,584","213,358",475629.00,481790.00,1.10%,915,0,0,915,
2000,36,35,North Dakota,61.10%,60.30%,59.70%,"292,249","288,256",477968.00,482078.00,1.20%,"1,076",0,0,"1,076",
2002,36,35,North Dakota,49.80%,48.50%,47.60%,"237,224","231,030",476251.00,486797.00,1.20%,"1,168",0,0,"1,168",
2004,36,35,North Dakota,65.50%,64.80%,63.80%,"316,049","312,833",482722.00,496479.00,1.30%,"1,266",0,0,"1,266",
2006,36,35,North Dakota,45.40%,44.90%,44.10%,"220,479","218,152",486142.00,503647.00,1.50%,"1,363",0,0,"1,363",
2008,36,35,North Dakota,63.60%,62.70%,61.70%,"321,133","316,621",504762.00,512768.00,1.30%,"1,452",0,0,"1,452","11,179"
2010,36,35,North Dakota,46.60%,46.20%,45.30%,"241,039","238,812",516974.00,527497.00,1.70%,"1,480",0,0,"1,487",
2012,36,35,North Dakota,60.40%,59.80%,58.70%,"325,564","322,627",539164.00,549955.00,1.70%,"1,500",0,0,"1,500",
2014,36,35,North Dakota,45.00%,43.80%,42.70%,"255,128","248,670",567221.00,582205.00,2.30%,"1,700",0,0,"1,700",
1980,24,36,Ohio,57.30%,56.10%,55.40%,"4,378,937","4,283,603",7637813.00,7732705.00,1.10%,"13,489",0,0,"13,489",
1982,24,36,Ohio,46.20%,44.10%,43.60%,"3,551,995","3,395,463",7692059.00,7793022.00,1.10%,"17,317",0,0,"17,317",
1984,24,36,Ohio,60.30%,58.80%,58.00%,"4,664,223","4,547,619",7732456.00,7836806.00,1.10%,"18,619",0,0,"18,619",
1986,24,36,Ohio,46.60%,40.10%,39.60%,"3,628,870","3,121,189",7781083.00,7891503.00,1.10%,"22,463",0,0,"22,463",
1988,24,36,Ohio,57.30%,55.80%,55.00%,"4,505,284","4,393,585",7869099.00,7986220.00,1.10%,"26,462",0,0,"26,462",
1990,24,36,Ohio,45.40%,43.60%,42.90%,"3,620,469","3,477,650",7975680.00,8103382.00,1.20%,"31,822",0,0,"31,822",
1992,24,36,Ohio,62.50%,61.30%,60.20%,"5,043,094","4,939,967",8063595.00,8208502.00,1.30%,"38,378",0,0,"38,378",
1994,24,36,Ohio,43.50%,42.30%,41.40%,"3,540,954","3,436,884",8132122.00,8292312.00,1.40%,"43,074",0,0,"43,074",
1996,24,36,Ohio,56.70%,55.40%,54.20%,"4,638,108","4,534,434",8185999.00,8366250.00,1.50%,"46,174",0,"6,331","52,505",
1998,24,36,Ohio,42.90%,41.30%,40.40%,"3,534,782","3,404,351",8237516.00,8424249.00,1.60%,"48,450",0,0,"48,450",
2000,24,36,Ohio,57.80%,56.70%,55.40%,"4,795,989","4,705,457",8295592.00,8487355.00,1.80%,"45,833",0,0,"45,833",
2002,24,36,Ohio,40.30%,38.80%,37.60%,"3,356,285","3,228,992",8322521.00,8556557.00,1.90%,"45,831",0,0,"45,831",
2004,24,36,Ohio,67.90%,66.80%,65.10%,"5,722,443","5,627,908",8427696.00,8624277.00,2.00%,"44,770",0,0,"44,770",
2006,24,36,Ohio,49.50%,47.50%,46.30%,"4,184,072","4,022,754",8461211.00,8687609.00,2.20%,"49,166",0,0,"49,166",
2008,24,36,Ohio,67.80%,66.90%,65.10%,"5,773,777","5,698,260",8513079.00,8757453.00,2.20%,"51,686",0,0,"51,686","174,703"
2010,24,36,Ohio,46.20%,44.90%,43.60%,"3,956,028","3,852,453",8571952.00,8826908.00,2.30%,"51,116",0,0,"51,712",
2012,24,36,Ohio,65.10%,64.50%,62.70%,"5,632,423","5,580,822",8649495.00,8896930.00,2.20%,"50,313",0,0,"50,313",
2014,24,36,Ohio,36.20%,35.10%,34.10%,"3,149,876","3,055,913",8701243.00,8969074.00,2.40%,"51,024",0,0,"51,024",
1980,53,37,Oklahoma,54.20%,53.20%,52.20%,"1,172,303","1,149,708",2162051.00,2201257.00,1.10%,"4,796","14,360","2,232","14,208",
1982,53,37,Oklahoma,39.10%,38.40%,37.60%,"901,488","883,130",2302670.00,2346265.00,1.20%,"6,500","14,749","1,858","15,733",
1984,53,37,Oklahoma,55.50%,54.00%,52.90%,"1,290,555","1,255,676",2324445.00,2373014.00,1.20%,"7,872","18,809","1,880","19,157",
1986,53,37,Oklahoma,40.80%,39.70%,38.80%,"934,447","909,925",2290182.00,2343190.00,1.30%,"9,708","22,740","1,670","22,748",
1988,53,37,Oklahoma,53.10%,52.10%,50.90%,"1,192,815","1,171,036",2245785.00,2300258.00,1.30%,"10,448","23,341","1,455","23,574",
1990,53,37,Oklahoma,41.30%,40.50%,39.40%,"929,639","911,314",2251719.00,2313340.00,1.50%,"12,285","24,411","3,236","27,727",
1992,53,37,Oklahoma,63.50%,60.60%,58.80%,"1,455,635","1,390,359",2293931.00,2366029.00,1.80%,"14,821","25,902","2,758","30,530",
1994,53,37,Oklahoma,43.10%,42.70%,41.30%,"1,002,363","995,012",2327519.00,2410272.00,2.00%,"16,631","28,285","2,604","33,378",
1996,53,37,Oklahoma,51.40%,51.00%,49.00%,"1,218,248","1,206,713",2368311.00,2461718.00,2.30%,"19,593","28,090","2,159","35,797",
1998,53,37,Oklahoma,,36.20%,34.70%,,"873,585",2415036.00,2518285.00,2.60%,"20,892","29,093","1,532","36,971",
2000,53,37,Oklahoma,,49.90%,48.00%,,"1,234,229",2475220.00,2568304.00,2.90%,"23,181","30,969","1,825","40,491",
2002,53,37,Oklahoma,,41.20%,39.60%,,"1,035,620",2513143.00,2610016.00,3.30%,"23,004","29,881","3,573","41,518",
2004,53,37,Oklahoma,,58.30%,55.30%,,"1,463,758",2510823.00,2649994.00,3.40%,"24,767","28,435","4,329","43,314",
2006,53,37,Oklahoma,,36.40%,34.30%,,"926,462",2547224.00,2709819.00,3.90%,"26,243","27,415","4,329","44,280",
2008,53,37,Oklahoma,56.30%,55.80%,52.80%,"1,474,694","1,462,661",2619121.00,2770219.00,4.00%,"25,864","27,940","3,073","41,371","57,046"
2010,53,37,Oklahoma,39.10%,38.80%,36.40%,"1,043,507","1,034,767",2666767.00,2839030.00,4.40%,"25,893","20,601","2,627","48,167",
2012,53,37,Oklahoma,,49.20%,46.30%,,"1,334,872",2713268.00,2885093.00,4.50%,"25,225","25,506","2,310","41,053",
2014,53,37,Oklahoma,30.00%,29.90%,28.10%,"825,607","824,831",2755091.00,2940437.00,4.70%,"27,650","28,568","2,560","46,208",
1980,72,38,Oregon,64.30%,62.80%,61.40%,"1,209,691","1,181,516",1880863.00,1925651.00,2.20%,"3,177",0,0,"3,177",
1982,72,38,Oregon,56.10%,55.00%,53.50%,"1,063,913","1,042,009",1895706.00,1946116.00,2.40%,"3,900",0,0,"3,900",
1984,72,38,Oregon,66.40%,64.30%,62.50%,"1,265,824","1,226,527",1906880.00,1962501.00,2.60%,"4,224",0,0,"4,224",
1986,72,38,Oregon,56.40%,54.90%,53.20%,"1,088,140","1,059,630",1928782.00,1990233.00,2.80%,"4,770",0,0,"4,770",
1988,72,38,Oregon,62.30%,60.60%,58.50%,"1,235,199","1,201,694",1982355.00,2055379.00,3.10%,"5,991",0,"3,790","9,781",
1990,72,38,Oregon,55.10%,54.10%,52.10%,"1,133,125","1,112,847",2057833.00,2137314.00,3.40%,"6,492",0,0,"6,492",
1992,72,38,Oregon,69.90%,68.20%,65.30%,"1,498,959","1,462,643",2144867.00,2241507.00,4.00%,"6,583",0,0,"6,583",
1994,72,38,Oregon,56.30%,54.80%,52.10%,"1,254,265","1,221,010",2229242.00,2344505.00,4.60%,"6,936",0,0,"6,936",
1996,72,38,Oregon,60.60%,59.70%,56.30%,"1,399,180","1,377,760",2309051.00,2445442.00,5.20%,"8,661",0,0,"8,661",
1998,72,38,Oregon,49.00%,47.20%,44.20%,"1,160,400","1,117,747",2370381.00,2526500.00,5.80%,"8,927",0,0,"8,927",
2000,72,38,Oregon,65.90%,64.90%,59.10%,"1,559,215","1,533,968",2364402.00,2595354.00,6.40%,"10,580",0,0,"10,580",
2002,72,38,Oregon,51.80%,50.80%,47.20%,"1,293,756","1,267,221",2495739.00,2674581.00,6.70%,"12,422",0,0,"12,422",
2004,72,38,Oregon,72.60%,72.00%,66.80%,"1,851,671","1,836,782",2550887.00,2736472.00,6.80%,"13,219",0,0,"13,219",
2006,72,38,Oregon,53.20%,52.50%,48.40%,"1,399,650","1,379,475",2628937.00,2829482.00,7.30%,"13,707",0,0,"13,707",
2008,72,38,Oregon,68.30%,67.70%,62.70%,"1,845,251","1,827,864",2700327.00,2916246.00,6.90%,"14,167",0,0,"14,167","63,480"
2010,72,38,Oregon,53.90%,52.70%,48.70%,"1,487,210","1,453,548",2760607.00,2984806.00,7.00%,"12,262",0,0,"14,014",
2012,72,38,Oregon,64.20%,63.10%,58.70%,"1,820,507","1,789,270",2836101.00,3050747.00,6.60%,"13,607",0,0,"13,607",
2014,72,38,Oregon,53.40%,50.90%,47.20%,"1,541,782","1,469,717",2887517.00,3115883.00,6.80%,"15,075",0,0,"15,075",
1980,14,39,Pennsylvania,,52.60%,52.00%,,"4,561,501",8664166.00,8774885.00,1.20%,"8,171",0,0,"8,171",
1982,14,39,Pennsylvania,,42.10%,41.50%,,"3,683,985",8749931.00,8869173.00,1.20%,"10,508",0,0,"10,508",
1984,14,39,Pennsylvania,,55.10%,54.30%,,"4,844,903",8790815.00,8918353.00,1.30%,"13,090",0,0,"13,090",
1986,14,39,Pennsylvania,,38.40%,37.80%,,"3,388,275",8820459.00,8955720.00,1.30%,"15,201",0,0,"15,201",
1988,14,39,Pennsylvania,,51.00%,50.20%,,"4,536,251",8892826.00,9037056.00,1.40%,"17,900",0,0,"17,900",
1990,14,39,Pennsylvania,,34.10%,33.50%,,"3,052,760",8962083.00,9120122.00,1.50%,"22,290",0,0,"22,290",
1992,14,39,Pennsylvania,,54.90%,53.90%,,"4,949,810",9010940.00,9188416.00,1.70%,"24,974",0,0,"24,974",
1994,14,39,Pennsylvania,,39.60%,38.80%,,"3,585,526",9043585.00,9241090.00,1.80%,"28,302",0,0,"28,302",
1996,14,39,Pennsylvania,,49.70%,48.50%,,"4,506,118",9063470.00,9283893.00,2.00%,"34,537",0,0,"34,537",
1998,14,39,Pennsylvania,,33.30%,32.50%,,"3,025,152",9075961.00,9314795.00,2.20%,"36,377",0,0,"36,377",
2000,14,39,Pennsylvania,,54.10%,52.30%,,"4,912,185",9086897.00,9375146.00,2.40%,"36,847",0,0,"36,847",
2002,14,39,Pennsylvania,,38.80%,37.30%,,"3,545,431",9143001.00,9454338.00,2.60%,"40,545",0,0,"40,545",
2004,14,39,Pennsylvania,,62.60%,60.60%,,"5,769,590",9221962.00,9554349.00,2.70%,"40,692",0,0,"40,692",
2006,14,39,Pennsylvania,,44.10%,42.60%,,"4,096,077",9283762.00,9680466.00,3.00%,"44,397",0,0,"44,397",
2008,14,39,Pennsylvania,64.20%,63.60%,61.30%,"6,071,357","6,012,692",9457942.00,9813664.00,3.10%,"49,215",0,0,"49,215","203,791"
2010,14,39,Pennsylvania,42.40%,41.70%,40.10%,"4,055,336","3,987,551",9565822.00,9946290.00,3.30%,"50,116",0,0,"51,264",
2012,14,39,Pennsylvania,,59.50%,57.20%,,"5,742,040",9651432.00,10037099.00,3.30%,"50,054",0,0,"50,054",
2014,14,39,Pennsylvania,36.50%,36.10%,34.60%,"3,535,576","3,495,866",9689491.00,10100271.00,3.60%,"49,643",0,0,"49,643",
1980,5,40,Rhode Island,62.70%,61.60%,58.60%,"423,349","416,072",675067.00,709692.00,4.30%,813,"5,501",257,"3,821",
1982,5,40,Rhode Island,54.20%,50.00%,47.40%,"370,928","342,779",684977.00,723060.00,4.60%,"1,037","6,501",327,"4,615",
1984,5,40,Rhode Island,60.60%,58.80%,55.50%,"422,851","410,492",697537.00,739064.00,4.90%,"1,221","7,147",394,"5,189",
1986,5,40,Rhode Island,45.40%,43.00%,40.40%,"322,724","305,663",711034.00,756297.00,5.20%,"1,358","8,174",453,"5,898",
1988,5,40,Rhode Island,57.60%,56.10%,52.50%,"415,963","404,620",721773.00,771407.00,5.50%,"1,906","9,824",442,"7,260",
1990,5,40,Rhode Island,51.70%,50.20%,46.60%,"375,188","364,052",725084.00,780448.00,5.80%,"2,392","15,366",321,"10,396",
1992,5,40,Rhode Island,,62.80%,58.20%,,"453,471",721593.00,779266.00,6.00%,"2,775","15,585",483,"11,051",
1994,5,40,Rhode Island,,50.50%,46.50%,,"361,377",716002.00,776723.00,6.20%,"2,919","18,179",525,"12,534",
1996,5,40,Rhode Island,,54.40%,49.90%,,"390,247",717041.00,781307.00,6.40%,"3,271","20,446",573,"14,067",
1998,5,40,Rhode Island,42.80%,42.30%,38.80%,"309,835","306,445",723772.00,790726.00,6.60%,"3,445","21,049",432,"14,402",
2000,5,40,Rhode Island,54.70%,54.20%,50.70%,"412,074","408,783",753877.00,804417.00,6.90%,"3,286","20,922",331,"14,078",
2002,5,40,Rhode Island,45.40%,44.70%,40.10%,"337,027","331,834",741776.00,819310.00,7.40%,"3,569","25,914",384,"16,910",
2004,5,40,Rhode Island,58.90%,58.50%,52.90%,"440,228","437,134",747046.00,827513.00,7.60%,"3,701","26,085",368,"17,112",
2006,5,40,Rhode Island,52.10%,51.00%,46.70%,"392,882","384,993",754219.00,824887.00,8.10%,"3,996",0,0,"3,996",
2008,5,40,Rhode Island,62.30%,61.80%,57.10%,"475,428","471,766",763608.00,825786.00,7.00%,"4,045",0,0,"4,045","13,827"
2010,5,40,Rhode Island,45.40%,44.80%,41.20%,"346,357","342,290",763534.00,829913.00,7.60%,"3,357",0,0,"3,357",
2012,5,40,Rhode Island,,58.00%,53.40%,,"446,049",768918.00,834983.00,7.50%,"3,249",0,0,"3,249",
2014,5,40,Rhode Island,42.40%,41.70%,38.50%,"329,212","324,055",776286.00,842605.00,7.50%,"3,294",0,0,"3,294",
1980,48,41,South Carolina,42.40%,41.10%,40.40%,"922,397","894,071",2176721.00,2212354.00,0.60%,"7,862","20,589","3,124","21,281",
1982,48,41,South Carolina,30.40%,29.70%,29.20%,"688,300","671,625",2260577.00,2297223.00,0.70%,"9,137","16,981","3,175","20,803",
1984,48,41,South Carolina,43.70%,41.60%,40.90%,"1,018,701","968,529",2329080.00,2368236.00,0.70%,"9,892","17,043","3,441","21,855",
1986,48,41,South Carolina,31.90%,31.50%,30.90%,"763,493","753,751",2393329.00,2437430.00,0.80%,"11,676","21,110","3,066","25,297",
1988,48,41,South Carolina,42.50%,40.20%,39.40%,"1,041,846","986,009",2453644.00,2504635.00,0.80%,"13,888","26,260","3,626","30,644",
1990,48,41,South Carolina,31.30%,30.00%,29.30%,"793,614","760,965",2537384.00,2598170.00,0.90%,"17,319","32,287","3,543","37,006",
1992,48,41,South Carolina,47.30%,46.10%,44.80%,"1,234,712","1,202,527",2610725.00,2683852.00,1.20%,"18,643","35,587","5,325","41,762",
1994,48,41,South Carolina,35.70%,35.10%,34.00%,"951,901","934,886",2663830.00,2747987.00,1.40%,"18,999","40,005","6,077","45,079",
1996,48,41,South Carolina,44.10%,42.20%,40.80%,"1,203,486","1,151,422",2731064.00,2825088.00,1.70%,"20,446","42,417","5,036","46,691",
1998,48,41,South Carolina,38.70%,38.10%,36.70%,"1,092,430","1,077,135",2825173.00,2931120.00,1.90%,"21,764","46,482","4,404","49,409",
2000,48,41,South Carolina,48.70%,47.00%,45.70%,"1,433,533","1,382,717",2944326.00,3025380.00,2.20%,"21,778","44,632","4,378","48,472",
2002,48,41,South Carolina,,36.90%,35.60%,,"1,102,010",2982810.00,3100548.00,2.60%,"24,247","41,574","3,491","48,525",
2004,48,41,South Carolina,53.20%,53.00%,50.70%,"1,626,720","1,617,730",3055098.00,3198733.00,2.70%,"24,173","38,856","2,217","45,818",
2006,48,41,South Carolina,35.40%,34.60%,33.10%,"1,117,311","1,091,952",3152046.00,3332190.00,3.20%,"23,616","38,353","3,072","45,865",
2008,48,41,South Carolina,58.20%,58.00%,55.30%,"1,927,153","1,920,969",3311044.00,3473488.00,3.40%,"24,326","41,254","1,947","45,927","72,241"
2010,48,41,South Carolina,40.30%,39.70%,37.60%,"1,365,480","1,344,198",3388417.00,3571250.00,3.80%,"23,074","21,144","6,412","47,928",
2012,48,41,South Carolina,56.80%,56.30%,53.60%,"1,981,516","1,964,118",3486838.00,3662322.00,3.50%,"21,895","34,945","6,116","46,532",
2014,48,41,South Carolina,35.20%,34.80%,33.10%,"1,261,611","1,246,301",3584461.00,3760480.00,3.50%,"20,917","35,096","5,225","45,796",
1980,37,42,South Dakota,,67.70%,67.30%,,"327,703",484328.00,486893.00,0.40%,635,0,0,635,
1982,37,42,South Dakota,,56.90%,56.60%,,"278,562",489474.00,492367.00,0.40%,791,0,0,791,
1984,37,42,South Dakota,,64.30%,63.80%,,"317,867",494651.00,497849.00,0.50%,921,0,0,921,
1986,37,42,South Dakota,,60.10%,59.70%,,"295,830",492333.00,495833.00,0.50%,"1,081",0,0,"1,081",
1988,37,42,South Dakota,,63.40%,62.90%,,"312,991",494034.00,497633.00,0.50%,"1,020",0,0,"1,020",
1990,37,42,South Dakota,,52.30%,51.90%,,"258,976",494849.00,499072.00,0.60%,"1,341",0,0,"1,341",
1992,37,42,South Dakota,,66.70%,66.10%,,"336,254",503759.00,508841.00,0.70%,"1,487",0,0,"1,487",
1994,37,42,South Dakota,61.30%,60.10%,59.40%,"318,090","311,613",518815.00,524910.00,0.80%,"1,708",0,0,"1,708",
1996,37,42,South Dakota,62.20%,61.10%,60.30%,"329,316","323,826",529793.00,537038.00,1.00%,"2,063",0,0,"2,063",
1998,37,42,South Dakota,49.80%,49.00%,48.30%,"266,355","262,111",534711.00,543074.00,1.10%,"2,422",0,0,"2,422",
2000,37,42,South Dakota,58.70%,57.70%,56.90%,"322,159","316,269",548498.00,554875.00,1.20%,"2,616",0,0,"2,616",
2002,37,42,South Dakota,61.20%,60.70%,59.70%,"340,407","337,497",556154.00,564305.00,1.30%,"3,059",0,0,"3,059",
2004,37,42,South Dakota,69.40%,68.20%,66.90%,"394,930","388,215",569161.00,576472.00,1.40%,"3,101",0,0,"3,101",
2006,37,42,South Dakota,58.80%,57.80%,56.40%,"341,105","335,508",580592.00,589178.00,1.40%,"3,359",0,"2,444","5,803",
2008,37,42,South Dakota,65.60%,64.70%,63.40%,"387,449","381,975",590720.00,602539.00,1.20%,"3,342",0,"2,720","4,702","20,144"
2010,37,42,South Dakota,53.90%,52.90%,51.50%,"323,410","317,083",599507.00,616113.00,1.90%,"3,373",0,"2,843","4,856",
2012,37,42,South Dakota,60.10%,59.30%,57.60%,"368,270","363,815",613190.00,631472.00,1.90%,"3,574",0,"2,761","6,335",
2014,37,42,South Dakota,44.70%,44.30%,43.10%,"282,291","279,412",630989.00,647810.00,1.60%,"3,528",0,"2,611","6,139",
1980,54,43,Tennessee,,49.20%,48.80%,,"1,617,616",3285608.00,3318036.00,0.50%,"7,022","9,130","3,097","14,684",
1982,54,43,Tennessee,,37.50%,37.10%,,"1,259,785",3357236.00,3393233.00,0.60%,"7,869","10,101","3,303","16,223",
1984,54,43,Tennessee,,50.10%,49.40%,,"1,711,994",3415760.00,3463234.00,0.60%,"7,307","23,598","6,524","25,630",
1986,54,43,Tennessee,,34.80%,34.30%,,"1,210,339",3478867.00,3532177.00,0.70%,"7,591","26,291","8,600","29,337",
1988,54,43,Tennessee,,46.10%,45.30%,,"1,636,250",3551452.00,3609081.00,0.70%,"7,732","28,282","9,529","31,402",
1990,54,43,Tennessee,,21.80%,21.40%,,"790,441",3624940.00,3693970.00,0.80%,"10,388","32,719","11,327","38,075",
1992,54,43,Tennessee,,53.20%,52.00%,,"1,982,638",3726024.00,3811036.00,1.10%,"11,849","38,614","11,819","42,975",
1994,54,43,Tennessee,,38.60%,37.70%,,"1,487,130",3850228.00,3945407.00,1.40%,"14,401","34,896","9,353","41,202",
1996,54,43,Tennessee,,47.50%,46.30%,,"1,894,105",3984092.00,4094014.00,1.60%,"15,626","37,002","8,934","43,061",
1998,54,43,Tennessee,25.10%,23.90%,23.10%,"1,026,017","976,236",4092745.00,4217608.00,1.90%,"17,738","38,924","7,605","44,805",
2000,54,43,Tennessee,50.50%,49.90%,48.10%,"2,100,241","2,076,181",4162996.00,4316391.00,2.20%,"22,166","40,682","8,093","50,600",
2002,54,43,Tennessee,,39.60%,37.30%,,"1,644,741",4151834.00,4393757.00,2.50%,"25,409","42,712","7,949","54,714",
2004,54,43,Tennessee,56.80%,56.30%,54.10%,"2,456,610","2,437,319",4328446.00,4496929.00,2.60%,"25,834","47,392","8,410","57,940",
2006,54,43,Tennessee,42.10%,41.40%,39.50%,"1,868,363","1,833,695",4433921.00,4641909.00,3.10%,"25,745","52,558","8,630","60,654",
2008,54,43,Tennessee,57.40%,57.00%,54.50%,"2,618,238","2,599,749",4563192.00,4771926.00,3.10%,"27,228","58,109","10,578","61,572","127,930"
2010,54,43,Tennessee,35.10%,34.60%,32.80%,"1,620,619","1,601,549",4622919.00,4878724.00,3.50%,"27,213","52,178","12,157","85,708",
2012,54,43,Tennessee,52.30%,51.90%,49.40%,"2,478,870","2,458,577",4736084.00,4976284.00,3.30%,"28,135","64,430","13,138","75,421",
2014,54,43,Tennessee,29.80%,28.60%,27.20%,"1,430,117","1,374,065",4799476.00,5060636.00,3.60%,"28,495","62,950","13,498","77,245",
1980,49,44,Texas,,47.40%,44.90%,,"4,541,636",9572904.00,10120613.00,4.30%,"29,892","131,996","17,235","113,125",
1982,49,44,Texas,,31.20%,29.20%,,"3,191,091",10228820.00,10910762.00,4.90%,"36,149","177,270","26,274","151,058",
1984,49,44,Texas,,51.00%,47.40%,,"5,397,571",10582774.00,11397758.00,5.40%,"36,682","235,568","40,783","195,249",
1986,49,44,Texas,,31.90%,29.30%,,"3,442,368",10786533.00,11732625.00,6.00%,"38,534","290,074","57,509","241,080",
1988,49,44,Texas,,50.10%,45.70%,,"5,427,410",10833436.00,11877787.00,6.60%,"40,437","288,906","77,827","262,717",
1990,49,44,Texas,,35.30%,31.80%,,"3,892,746",11034190.00,12232761.00,7.20%,"50,042","308,357","109,726","313,947",
1992,49,44,Texas,,54.20%,48.30%,,"6,154,018",11356487.00,12747860.00,8.10%,"60,467","360,702","121,141","361,959",
1994,49,44,Texas,,37.50%,33.00%,,"4,396,242",11719888.00,13334014.00,8.90%,"118,195","396,276","108,563","424,896",
1996,49,44,Texas,,46.50%,40.40%,,"5,611,644",12072149.00,13887542.00,9.80%,"132,383","429,329","112,594","459,642",
1998,49,44,Texas,,29.90%,25.80%,,"3,738,078",12490423.00,14504988.00,10.60%,"144,510","443,688","109,820","476,174",
2000,49,44,Texas,49.20%,49.20%,42.40%,"6,407,637","6,407,037",13033081.00,15138468.00,11.40%,"166,719","441,848","111,719","499,362",
2002,49,44,Texas,34.50%,34.20%,28.80%,"4,552,059","4,514,012",13181016.00,15718593.00,12.10%,"164,222","434,486","103,068","484,533",
2004,49,44,Texas,,53.70%,45.40%,,"7,410,765",13796256.00,16284659.00,12.50%,"169,110","428,773","102,072","485,569",
2006,49,44,Texas,,30.90%,25.80%,,"4,399,068",14255313.00,17029802.00,13.40%,"172,116","431,967","101,916","490,016",
2008,49,44,Texas,,54.10%,45.50%,,"8,077,795",14929810.00,17756112.00,13.50%,"172,506","427,080","102,921","437,507","549,216"
